status,source,repo_path,wer,language_probability,missing_words,extra_words,expected,transcript
PASS,CEO 101,audio/b2/tache3-22-famille-moderne-03-cette-evolution-peut-parfois-creer-de-l-instabilite-parce-que-le.mp3,0.0,1.0,,,"Cette évolution peut parfois créer de l'instabilité, parce que les repères sont moins fixes qu'avant.",Cette évolution peut parfois créer de l'instabilité parce que les repères sont moins fixes qu'avant.
PASS,CEO 117,audio/b2/questions-25-voyage-transport-location-de-voiture-04-en-cas-de-retard-d-annulation-ou-de-panne-quelle-est-la-procedur.mp3,0.0,1.0,,,"En cas de retard, d'annulation ou de panne, quelle est la procédure à suivre ?","En cas de retard, d'annulation ou de panne, quelle est la procédure à suivre ?"
PASS,CEO 128,audio/b2/questions-27-restaurant-hotel-rendez-vous-05-y-a-t-il-une-option-plus-adaptee-si-je-viens-avec-des-collegues.mp3,0.0,1.0,,,"Y a-t-il une option plus adaptée si je viens avec des collègues, des enfants ou des personnes âgées ?","Y a-t-il une option plus adaptée si je viens avec des collègues, des enfants ou des personnes âgées ?"
PASS,CEO 129,audio/b2/questions-28-cadeau-enfant-animal-01-quelles-sont-ses-habitudes-quotidiennes-notamment-pour-les-repas.mp3,0.0,1.0,,,"Quelles sont ses habitudes quotidiennes, notamment pour les repas, le sommeil et les loisirs ?","Quelles sont ses habitudes quotidiennes, notamment pour les repas, le sommeil et les loisirs ?"
PASS,CEO 161,audio/b2/variations-34-transformer-une-ida-e-banale-sur-l-a-cole-03-cela-dit-elle-ne-peut-pas-reparer-seule-toutes-les-injustices-so.mp3,0.0,1.0,,,"Cela dit, elle ne peut pas réparer seule toutes les injustices sociales.","Cela dit, elle ne peut pas réparer seule toutes les injustices sociales."
PASS,CEO 171,audio/b2/variations-36-transformer-je-suis-d-accord-03-elle-est-convaincante-en-theorie-meme-si-elle-peut-rencontrer-de.mp3,0.0,1.0,,,"Elle est convaincante en théorie, même si elle peut rencontrer des difficultés dans la pratique.","Elle est convaincante en théorie, même si elle peut rencontrer des difficultés dans la pratique."
PASS,dialogue_01 teacher,audio/b2/dialogue/teacher-bonjour-pouvez-vous-vous-presenter-s-il-vous-plait.mp3,0.0,1.0,,,"Bonjour, pouvez-vous vous présenter, s'il vous plaît ?","Bonjour, pouvez-vous vous présenter, s'il vous plaît ?"
PASS,dialogue_01 answer,audio/b2/dialogue/answer-bonjour-pouvez-vous-vous-presenter-s-il-vous-plait.mp3,0.0,1.0,,,"Bonjour, je m'appelle Patrick. Je viens de Chine et je vis actuellement au Canada. Je dirige une entreprise de commerce. J'apprends le français pour mieux communiquer et mieux m'intégrer au Canada.","Bonjour, je m'appelle Patrick, je viens de Chine et je vis actuellement au Canada. Je dirige une entreprise de commerce, j'apprends le français pour mieux communiquer et mieux m'intégrer au Canada."
PASS,dialogue_02 teacher,audio/b2/dialogue/teacher-depuis-combien-de-temps-vivez-vous-au-canada.mp3,0.0,1.0,,,Depuis combien de temps vivez-vous au Canada ?,Depuis combien de temps vivez-vous au Canada ?
PASS,dialogue_03 answer,audio/b2/dialogue/answer-comment-vous-decririez-vous-en-quelques-mots.mp3,0.0,1.0,,,"Je dirais que je suis persévérant et adaptable. Quand j'ai un objectif important, je progresse régulièrement et j'essaie de trouver des solutions concrètes.","Je dirais que je suis persévérant et adaptable. Quand j'ai un objectif important, je progresse régulièrement et j'essaie de trouver des solutions concrètes."
PASS,dialogue_04 teacher,audio/b2/dialogue/teacher-que-faites-vous-dans-la-vie.mp3,0.0,1.0,,,Que faites-vous dans la vie ?,Que faites-vous dans la vie ?
PASS,dialogue_04 answer,audio/b2/dialogue/answer-que-faites-vous-dans-la-vie.mp3,0.0,1.0,,,Je dirige une entreprise de commerce. Mon travail consiste notamment à communiquer avec différents partenaires et à prendre des décisions concrètes.,Je dirige une entreprise de commerce. Mon travail consiste notamment à communiquer avec différents partenaires et à prendre des décisions concrètes.
PASS,dialogue_05 teacher,audio/b2/dialogue/teacher-qu-est-ce-que-vous-aimez-le-plus-dans-votre-travail.mp3,0.0,1.0,,,Qu'est-ce que vous aimez le plus dans votre travail ?,Qu'est-ce que vous aimez le plus dans votre travail ?
PASS,dialogue_05 answer,audio/b2/dialogue/answer-qu-est-ce-que-vous-aimez-le-plus-dans-votre-travail.mp3,0.0,1.0,,,"J'aime surtout le fait que mon travail soit varié. Chaque situation est différente, donc je dois communiquer, m'organiser et m'adapter rapidement.","J'aime surtout le fait que mon travail soit varié. Chaque situation est différente, donc je dois communiquer, m'organiser et m'adapter rapidement."
PASS,dialogue_06 teacher,audio/b2/dialogue/teacher-quelle-qualite-est-importante-dans-votre-metier.mp3,0.0,1.0,,,Quelle qualité est importante dans votre métier ?,Quelle qualité est importante dans votre métier ?
PASS,dialogue_06 answer,audio/b2/dialogue/answer-quelle-qualite-est-importante-dans-votre-metier.mp3,0.0,1.0,,,"À mon avis, l'adaptabilité est essentielle. Elle permet de mieux réagir aux imprévus et de maintenir une bonne relation avec les partenaires.","À mon avis, l'adaptabilité est essentielle. Elle permet de mieux réagir aux imprévus et de maintenir une bonne relation avec les partenaires."
PASS,dialogue_07 teacher,audio/b2/dialogue/teacher-pourquoi-apprenez-vous-le-francais.mp3,0.0,1.0,,,Pourquoi apprenez-vous le français ?,Pourquoi apprenez-vous le français ?
PASS,dialogue_08 teacher,audio/b2/dialogue/teacher-comment-pratiquez-vous-le-francais-au-quotidien.mp3,0.0,1.0,,,Comment pratiquez-vous le français au quotidien ?,Comment pratiquez-vous le français au quotidien ?
PASS,dialogue_08 answer,audio/b2/dialogue/answer-comment-pratiquez-vous-le-francais-au-quotidien.mp3,0.0,1.0,,,J'écoute des phrases en français et je les répète à voix haute. J'essaie aussi de parler régulièrement afin de gagner en fluidité et en confiance.,J'écoute des phrases en français et je les répète à voix haute. J'essaie aussi de parler régulièrement afin de gagner en fluidité et en confiance.
PASS,dialogue_09 teacher,audio/b2/dialogue/teacher-qu-est-ce-qui-est-le-plus-difficile-pour-vous-en-francais.mp3,0.0,1.0,,,Qu'est-ce qui est le plus difficile pour vous en français ?,Qu'est-ce qui est le plus difficile pour vous en français ?
PASS,dialogue_09 answer,audio/b2/dialogue/answer-qu-est-ce-qui-est-le-plus-difficile-pour-vous-en-francais.mp3,0.0,1.0,,,"Le plus difficile pour moi est de répondre spontanément. Pour progresser, je m'entraîne à écouter une question et à formuler immédiatement une réponse courte et claire.","Le plus difficile pour moi est de répondre spontanément. Pour progresser, je m'entraîne à écouter une question et à formuler immédiatement une réponse courte et claire."
PASS,dialogue_10 teacher,audio/b2/dialogue/teacher-a-quoi-ressemble-une-journee-habituelle-pour-vous.mp3,0.0,1.0,,,À quoi ressemble une journée habituelle pour vous ?,À quoi ressemble une journée habituelle pour vous ?
PASS,dialogue_10 answer,audio/b2/dialogue/answer-a-quoi-ressemble-une-journee-habituelle-pour-vous.mp3,0.0,1.0,,,"En général, je commence ma journée assez tôt. Je m'occupe de mon travail pendant la journée, puis le soir, je prends du temps pour ma famille et pour apprendre le français.","En général, je commence ma journée assez tôt, je m'occupe de mon travail pendant la journée, puis le soir, je prends du temps pour ma famille et pour apprendre le français."
PASS,dialogue_11 teacher,audio/b2/dialogue/teacher-comment-organisez-vous-votre-temps.mp3,0.0,1.0,,,Comment organisez-vous votre temps ?,Comment organisez-vous votre temps ?
PASS,dialogue_11 answer,audio/b2/dialogue/answer-comment-organisez-vous-votre-temps.mp3,0.0,1.0,,,J'essaie de définir mes priorités à l'avance. Cela me permet de rester efficace tout en gardant du temps pour ma vie personnelle.,"J'essaie de définir mes priorités à l'avance, cela me permet de rester efficace tout en gardant du temps pour ma vie personnelle."
PASS,dialogue_12 teacher,audio/b2/dialogue/teacher-y-a-t-il-une-habitude-que-vous-aimeriez-changer.mp3,0.0,1.0,,,Y a-t-il une habitude que vous aimeriez changer ?,Y a-t-il une habitude que vous aimeriez changer ?
PASS,dialogue_13 teacher,audio/b2/dialogue/teacher-que-faites-vous-pendant-votre-temps-libre.mp3,0.0,1.0,,,Que faites-vous pendant votre temps libre ?,Que faites-vous pendant votre temps libre ?
PASS,dialogue_13 answer,audio/b2/dialogue/answer-que-faites-vous-pendant-votre-temps-libre.mp3,0.0,1.0,,,"Pendant mon temps libre, j'aime apprendre les langues et découvrir de nouvelles cultures. Ces activités me permettent de rester curieux et d'élargir ma façon de voir les choses.","Pendant mon temps libre, j'aime apprendre les langues et découvrir de nouvelles cultures. Ces activités me permettent de rester curieux et d'élargir ma façon de voir les choses."
PASS,dialogue_14 teacher,audio/b2/dialogue/teacher-que-faites-vous-habituellement-le-week-end.mp3,0.0,1.0,,,Que faites-vous habituellement le week-end ?,Que faites-vous habituellement le week-end ?
PASS,dialogue_14 answer,audio/b2/dialogue/answer-que-faites-vous-habituellement-le-week-end.mp3,0.0,1.0,,,"Le week-end, j'essaie de trouver un équilibre entre le repos, le temps en famille et mes projets personnels. Je réserve aussi un moment à la pratique du français.","Le week-end, j'essaie de trouver un équilibre entre le repos, le temps, en famille et mes projets personnels. Je réserve aussi un moment à la pratique du français."
PASS,dialogue_15 teacher,audio/b2/dialogue/teacher-preferez-vous-rester-chez-vous-ou-sortir-pourquoi.mp3,0.0,1.0,,,Préférez-vous rester chez vous ou sortir ? Pourquoi ?,préférez-vous rester chez vous ou sortir ? Pourquoi ?
PASS,dialogue_15 answer,audio/b2/dialogue/answer-preferez-vous-rester-chez-vous-ou-sortir-pourquoi.mp3,0.0,1.0,,,"Cela dépend de la semaine. Après une période chargée, je préfère rester chez moi pour me reposer, mais j'aime aussi sortir pour découvrir un nouvel endroit avec ma famille.","Cela dépend de la semaine. Après une période chargée, je préfère rester chez moi pour me reposer. Mais j'aime aussi sortir pour découvrir un nouvel endroit avec ma famille."
PASS,dialogue_16 teacher,audio/b2/dialogue/teacher-pouvez-vous-me-parler-de-votre-famille.mp3,0.0,1.0,,,Pouvez-vous me parler de votre famille ?,Pouvez-vous me parler de votre famille ?
PASS,dialogue_16 answer,audio/b2/dialogue/answer-pouvez-vous-me-parler-de-votre-famille.mp3,0.0,1.0,,,Ma famille occupe une place très importante dans ma vie. Nous essayons de passer du temps ensemble et de nous soutenir dans nos projets.,Ma famille occupe une place très importante dans ma vie. Nous essayons de passer du temps ensemble et de nous soutenir dans nos projets.
PASS,dialogue_17 teacher,audio/b2/dialogue/teacher-qu-aimez-vous-faire-ensemble.mp3,0.0,1.0,,,Qu'aimez-vous faire ensemble ?,Qu'aimez-vous faire ensemble ?
PASS,dialogue_17 answer,audio/b2/dialogue/answer-qu-aimez-vous-faire-ensemble.mp3,0.0,1.0,,,"Nous aimons partager un repas ou découvrir un nouvel endroit. Ce sont des moments simples, mais ils nous permettent de parler et de rester proches.","Nous aimons partager un repas ou découvrir un nouvel endroit. Ce sont des moments simples, mais ils nous permettent de parler et de rester proches."
PASS,dialogue_18 teacher,audio/b2/dialogue/teacher-quelle-valeur-familiale-est-importante-pour-vous.mp3,0.0,1.0,,,Quelle valeur familiale est importante pour vous ?,Quelle valeur familiale est importante pour vous ?
PASS,dialogue_18 answer,audio/b2/dialogue/answer-quelle-valeur-familiale-est-importante-pour-vous.mp3,0.0,1.0,,,"Pour moi, la communication est essentielle. Quand on parle ouvertement, il est plus facile de comprendre les besoins de chacun et d'éviter les malentendus.","Pour moi, la communication est essentielle. Quand on parle ouvertement, il est plus facile de comprendre les besoins de chacun et d'éviter les malentendus."
PASS,dialogue_19 teacher,audio/b2/dialogue/teacher-qu-est-ce-que-vous-aimez-dans-la-vie-au-canada.mp3,0.0,1.0,,,Qu'est-ce que vous aimez dans la vie au Canada ?,Qu'est-ce que vous aimez dans la vie au Canada ?
PASS,dialogue_19 answer,audio/b2/dialogue/answer-qu-est-ce-que-vous-aimez-dans-la-vie-au-canada.mp3,0.0,1.0,,,J'apprécie particulièrement la diversité culturelle du Canada. On peut rencontrer des personnes de différents horizons et apprendre à voir les choses autrement.,J'apprécie particulièrement la diversité culturelle du Canada. On peut rencontrer des personnes de différents horizons et apprendre à voir les choses autrement.
PASS,dialogue_20 teacher,audio/b2/dialogue/teacher-avez-vous-rencontre-des-difficultes-en-vous-installant-ici.mp3,0.0,1.0,,,Avez-vous rencontré des difficultés en vous installant ici ?,Avez-vous rencontré des difficultés en vous installant ici ?
PASS,dialogue_20 answer,audio/b2/dialogue/answer-avez-vous-rencontre-des-difficultes-en-vous-installant-ici.mp3,0.0,1.0,,,"Oui, il faut du temps pour comprendre un nouvel environnement et de nouvelles habitudes. J'essaie de rester ouvert, de poser des questions et d'apprendre progressivement.","Oui, il faut du temps pour comprendre un nouvel environnement et de nouvelles habitudes. J'essaie de rester ouvert, de poser des questions et d'apprendre progressivement."
PASS,dialogue_21 teacher,audio/b2/dialogue/teacher-qu-est-ce-qui-est-different-entre-le-canada-et-votre-pays-d-orig.mp3,0.0,1.0,,,Qu'est-ce qui est différent entre le Canada et votre pays d'origine ?,Qu'est-ce qui est différent entre le Canada et votre pays d'origine?
PASS,dialogue_21 answer,audio/b2/dialogue/answer-qu-est-ce-qui-est-different-entre-le-canada-et-votre-pays-d-orig.mp3,0.0,1.0,,,"Le rythme de vie et les habitudes de communication peuvent être différents. Je ne dirais pas qu'un système est meilleur que l'autre, mais cette différence demande une certaine adaptation.","Le rythme de vie et les habitudes de communication peuvent être différents. Je ne dirais pas qu'un système est meilleur que l'autre, mais cette différence demande une certaine adaptation."
PASS,dialogue_22 teacher,audio/b2/dialogue/teacher-quels-sont-vos-projets-pour-l-avenir.mp3,0.0,1.0,,,Quels sont vos projets pour l'avenir ?,Quels sont vos projets pour l'avenir ?
PASS,dialogue_22 answer,audio/b2/dialogue/answer-quels-sont-vos-projets-pour-l-avenir.mp3,0.0,1.0,,,"À court terme, je voudrais améliorer mon français oral. À plus long terme, j'aimerais l'utiliser avec confiance dans ma vie quotidienne et professionnelle au Canada.","À court terme, je voudrais améliorer mon français oral. À plus long terme, j'aimerais l'utiliser avec confiance dans ma vie quotidienne et professionnelle au Canada."
PASS,dialogue_23 teacher,audio/b2/dialogue/teacher-comment-allez-vous-atteindre-cet-objectif.mp3,0.0,1.0,,,Comment allez-vous atteindre cet objectif ?,Comment allez-vous atteindre cet objectif ?
PASS,dialogue_23 answer,audio/b2/dialogue/answer-comment-allez-vous-atteindre-cet-objectif.mp3,0.0,1.0,,,Je vais pratiquer un peu chaque jour et travailler surtout la compréhension des questions. Je veux également enregistrer mes réponses pour repérer mes hésitations.,Je vais pratiquer un peu chaque jour et travailler surtout la compréhension des questions. Je veux également enregistrer mes réponses pour repérer mes hésitations.
PASS,dialogue_24 teacher,audio/b2/dialogue/teacher-pourquoi-ce-projet-est-il-important-pour-vous.mp3,0.0,1.0,,,Pourquoi ce projet est-il important pour vous ?,Pourquoi ce projet est-il important pour vous ?
PASS,dialogue_24 answer,audio/b2/dialogue/answer-pourquoi-ce-projet-est-il-important-pour-vous.mp3,0.0,1.0,,,Ce projet est important parce que la langue facilite la communication et l'intégration. Progresser en français me donnera aussi davantage d'autonomie et de confiance.,Ce projet est important parce que la langue facilite la communication et l'intégration. Progresser en français me donnera aussi davantage d'autonomie et de confiance.
PASS,dialogue_25 teacher,audio/b2/dialogue/teacher-vous-etes-plutot-une-personne-calme-ou-dynamique.mp3,0.0,1.0,,,Vous êtes plutôt une personne calme ou dynamique ?,Vous êtes plutôt une personne calme ou dynamique.
PASS,dialogue_25 answer,audio/b2/dialogue/answer-vous-etes-plutot-une-personne-calme-ou-dynamique.mp3,0.0,1.0,,,"Je suis plutôt une personne calme, surtout lorsque je dois prendre une décision. Cela ne m'empêche pas d'être dynamique quand un projet demande de l'énergie.","Je suis plutôt une personne calme, surtout lorsque je dois prendre une décision. Cela ne m'empêche pas d'être dynamique quand un projet demande de l'énergie."
PASS,dialogue_26 teacher,audio/b2/dialogue/teacher-de-quelle-reussite-personnelle-etes-vous-le-plus-fier.mp3,0.0,1.0,,,De quelle réussite personnelle êtes-vous le plus fier ?,De quelle réussite personnelle êtes-vous le plus fier ?
PASS,dialogue_26 answer,audio/b2/dialogue/answer-de-quelle-reussite-personnelle-etes-vous-le-plus-fier.mp3,0.0,1.0,,,"Je suis fier d'avoir construit progressivement mon projet professionnel. Cette expérience m'a appris à être patient, responsable et adaptable.","Je suis fier d'avoir construit progressivement mon projet professionnel. Cette expérience m'a appris à être patient, responsable et adaptable."
PASS,dialogue_27 teacher,audio/b2/dialogue/teacher-avez-vous-deja-pense-a-changer-de-metier.mp3,0.0,1.0,,,Avez-vous déjà pensé à changer de métier ?,Avez-vous déjà pensé à changer de métier?
PASS,dialogue_27 answer,audio/b2/dialogue/answer-avez-vous-deja-pense-a-changer-de-metier.mp3,0.0,1.0,,,"Oui, j'y ai déjà pensé, car il est important de rester ouvert aux nouvelles possibilités. Cependant, je préfère un changement progressif et bien préparé.","Oui, j'y ai déjà pensé, car il est important de rester ouvert aux nouvelles possibilités. Cependant, je préfère un changement progressif et bien préparé."
PASS,dialogue_28 teacher,audio/b2/dialogue/teacher-que-faites-vous-lorsqu-un-probleme-imprevu-arrive-au-travail.mp3,0.0,1.0,,,Que faites-vous lorsqu'un problème imprévu arrive au travail ?,Que faites-vous lorsqu'un problème imprévu arrive au travail ?
PASS,dialogue_28 answer,audio/b2/dialogue/answer-que-faites-vous-lorsqu-un-probleme-imprevu-arrive-au-travail.mp3,0.0,1.0,,,"Je commence par comprendre la situation et identifier la priorité. Ensuite, je parle avec les personnes concernées afin de trouver une solution concrète.","Je commence par comprendre la situation et identifier la priorité. Ensuite, je parle avec les personnes concernées afin de trouver une solution concrète."
PASS,dialogue_29 teacher,audio/b2/dialogue/teacher-preferez-vous-apprendre-le-francais-seul-ou-avec-d-autres-person.mp3,0.0,1.0,,,Préférez-vous apprendre le français seul ou avec d'autres personnes ?,Préférez-vous apprendre le français seul ou avec d'autres personnes ?
PASS,dialogue_29 answer,audio/b2/dialogue/answer-preferez-vous-apprendre-le-francais-seul-ou-avec-d-autres-person.mp3,0.0,1.0,,,"Je préfère combiner les deux. Seul, je peux travailler à mon rythme, mais avec d'autres personnes, je développe davantage ma spontanéité.","Je préfère combiner les deux. Seul, je peux travailler à mon rythme, mais avec d'autres personnes, je développe davantage ma spontanéité."
PASS,dialogue_30 teacher,audio/b2/dialogue/teacher-dans-quelle-situation-aimeriez-vous-parler-francais-avec-plus-d.mp3,0.0,1.0,,,Dans quelle situation aimeriez-vous parler français avec plus d'aisance ?,Dans quelle situation aimeriez-vous parler français avec plus d'aisance ?
PASS,dialogue_30 answer,audio/b2/dialogue/answer-dans-quelle-situation-aimeriez-vous-parler-francais-avec-plus-d.mp3,0.0,1.0,,,J'aimerais parler avec plus d'aisance dans les situations professionnelles. Cela me permettrait de mieux expliquer mes idées et de communiquer avec davantage de confiance.,J'aimerais parler avec plus d'aisance dans les situations professionnelles. Cela me permettrait de mieux expliquer mes idées et de communiquer avec davantage de confiance.
PASS,dialogue_31 teacher,audio/b2/dialogue/teacher-etes-vous-plutot-du-matin-ou-du-soir.mp3,0.0,1.0,,,Êtes-vous plutôt du matin ou du soir ?,Êtes-vous plutôt du matin ou du soir ?
PASS,dialogue_32 teacher,audio/b2/dialogue/teacher-quelle-tache-quotidienne-aimez-vous-le-moins.mp3,0.0,1.0,,,Quelle tâche quotidienne aimez-vous le moins ?,Quelle tâche quotidienne aimez-vous le moins ?
PASS,dialogue_32 answer,audio/b2/dialogue/answer-quelle-tache-quotidienne-aimez-vous-le-moins.mp3,0.0,1.0,,,"J'aime moins les tâches répétitives, parce qu'elles prennent du temps. Pour les gérer, j'essaie de les planifier et de les terminer sans les repousser.","J'aime moins les tâches répétitives parce qu'elles prennent du temps. Pour les gérer, j'essaie de les planifier et de les terminer sans les repousser."
PASS,dialogue_33 teacher,audio/b2/dialogue/teacher-y-a-t-il-une-nouvelle-activite-que-vous-aimeriez-essayer.mp3,0.0,1.0,,,Y a-t-il une nouvelle activité que vous aimeriez essayer ?,Y a-t-il une nouvelle activité que vous aimeriez essayer ?
PASS,dialogue_33 answer,audio/b2/dialogue/answer-y-a-t-il-une-nouvelle-activite-que-vous-aimeriez-essayer.mp3,0.0,1.0,,,J'aimerais essayer une activité qui me permette de rencontrer davantage de francophones. Ce serait à la fois agréable et utile pour pratiquer la langue.,J'aimerais essayer une activité qui me permette de rencontrer davantage de francophones. Ce serait à la fois agréable et utile pour pratiquer la langue.
PASS,dialogue_34 teacher,audio/b2/dialogue/teacher-avec-qui-passez-vous-generalement-votre-temps-libre.mp3,0.0,1.0,,,Avec qui passez-vous généralement votre temps libre ?,Avec qui passez-vous généralement votre temps libre ?
PASS,dialogue_34 answer,audio/b2/dialogue/answer-avec-qui-passez-vous-generalement-votre-temps-libre.mp3,0.0,1.0,,,"Je passe généralement mon temps libre avec ma famille. Nous aimons partager un repas, discuter ou découvrir un nouvel endroit.","Je passe généralement mon temps libre avec ma famille. Nous aimons partager un repas, discuter ou découvrir un nouvel endroit."
PASS,dialogue_35 teacher,audio/b2/dialogue/teacher-est-il-facile-de-concilier-le-travail-et-la-vie-de-famille.mp3,0.0,1.0,,,Est-il facile de concilier le travail et la vie de famille ?,Est-il facile de concilier le travail et la vie de famille ?
PASS,dialogue_35 answer,audio/b2/dialogue/answer-est-il-facile-de-concilier-le-travail-et-la-vie-de-famille.mp3,0.0,1.0,,,"Ce n'est pas toujours facile, surtout pendant les périodes chargées. Pour garder un équilibre, j'essaie de bien organiser mes priorités et de réserver du temps à ma famille.","Ce n'est pas toujours facile, surtout pendant les périodes chargées. Pour garder un équilibre, j'essaie de bien organiser mes priorités et de réserver du temps à ma famille."
PASS,dialogue_36 teacher,audio/b2/dialogue/teacher-quelle-personne-vous-a-beaucoup-influence-dans-votre-vie.mp3,0.0,1.0,,,Quelle personne vous a beaucoup influencé dans votre vie ?,Quelle personne vous a beaucoup influencé dans votre vie ?
PASS,dialogue_36 answer,audio/b2/dialogue/answer-quelle-personne-vous-a-beaucoup-influence-dans-votre-vie.mp3,0.0,1.0,,,"Une personne de ma famille m'a beaucoup influencé par son sens des responsabilités. Grâce à elle, j'ai appris à rester sérieux et persévérant face aux difficultés.","Une personne de ma famille m'a beaucoup influencé par son sens des responsabilités. Grâce à elle, j'ai appris à rester sérieux et persévérant face aux difficultés."
PASS,dialogue_37 teacher,audio/b2/dialogue/teacher-quel-endroit-du-canada-aimeriez-vous-decouvrir.mp3,0.0,1.0,,,Quel endroit du Canada aimeriez-vous découvrir ?,Quel endroit du Canada aimeriez-vous découvrir ?
PASS,dialogue_37 answer,audio/b2/dialogue/answer-quel-endroit-du-canada-aimeriez-vous-decouvrir.mp3,0.0,1.0,,,"J'aimerais découvrir davantage de régions naturelles du Canada. Les paysages sont très variés, et ce serait une bonne occasion de mieux connaître le pays.",J'aimerais découvrir davantage de régions naturelles du Canada. Les paysages sont très variés et ce serait une bonne occasion de mieux connaître le pays.
PASS,dialogue_38 teacher,audio/b2/dialogue/teacher-comment-trouvez-vous-l-hiver-au-canada.mp3,0.0,1.0,,,Comment trouvez-vous l'hiver au Canada ?,Comment trouvez-vous l'hiver au Canada ?
PASS,dialogue_38 answer,audio/b2/dialogue/answer-comment-trouvez-vous-l-hiver-au-canada.mp3,0.0,1.0,,,"L'hiver est assez long et parfois difficile, mais on s'y adapte progressivement. Je pense qu'une bonne organisation et des activités adaptées rendent cette saison plus agréable.","L'hiver est assez long et parfois difficile, mais on s'y adapte progressivement. Je pense qu'une bonne organisation et des activités adaptées rendent cette saison plus agréable."
PASS,dialogue_39 teacher,audio/b2/dialogue/teacher-que-ferez-vous-si-votre-projet-ne-se-passe-pas-comme-prevu.mp3,0.0,1.0,,,Que ferez-vous si votre projet ne se passe pas comme prévu ?,Que ferez-vous si votre projet ne se passe pas comme prévu ?
PASS,dialogue_39 answer,audio/b2/dialogue/answer-que-ferez-vous-si-votre-projet-ne-se-passe-pas-comme-prevu.mp3,0.0,1.0,,,"Je commencerai par analyser les raisons du problème. Ensuite, j'adapterai mon plan, car un objectif important demande parfois plus de temps que prévu.","Je commencerai par analyser les raisons du problème. Ensuite, j'adapterai mon plan, car un objectif important demande parfois plus de temps que prévu."
